Date,Price,Open,High,Low,Vol.,Change %
07/07/2025,33.621,33.21,34.045,32.985,7.42K,0.57%
04/07/2025,33.43,33.95,33.95,33.275,0.08K,-0.57%
03/07/2025,33.621,33.65,34.21,33.435,16.35K,0.09%
02/07/2025,33.591,33.98,34.425,33.21,17.11K,-0.30%
01/07/2025,33.693,33.1,33.845,32.885,9.59K,2.42%
30/06/2025,32.898,33.35,33.45,32.7,2.42K,-0.57%
27/06/2025,33.087,33.087,33.087,33.087,,-2.75%
26/06/2025,34.024,35.305,35.31,34.05,0.13K,-3.89%
25/06/2025,35.401,35.45,35.945,35.12,0.79K,-0.60%
24/06/2025,35.615,36.485,36.55,35.085,0.81K,-12.11%
23/06/2025,40.522,41.6,41.9,40.29,4.11K,-0.99%
20/06/2025,40.929,39.955,41.795,39.88,8.71K,-1.34%
19/06/2025,41.485,41.485,41.795,39.88,0.98K,7.22%
18/06/2025,38.693,39.55,40.365,38.655,3.56K,-1.57%
17/06/2025,39.309,38.18,39.7,38.175,11.95K,3.70%
16/06/2025,37.906,38.67,39.485,37.395,9.55K,0.03%
13/06/2025,37.894,37.595,38.46,37.105,9.59K,4.75%
12/06/2025,36.177,36.405,36.5,35.765,8.37K,0.74%
11/06/2025,35.913,35.165,35.9,35.06,4.91K,3.68%
10/06/2025,34.638,35.555,35.555,34.55,4.63K,-2.72%
09/06/2025,35.605,36.145,36.245,35.45,4.95K,-1.78%
06/06/2025,36.251,36.55,36.72,35.955,4.61K,-0.39%
05/06/2025,36.393,35.705,36.59,35.705,3.86K,2.08%
04/06/2025,35.65,36.005,36.365,35.415,6.57K,-0.55%
03/06/2025,35.848,35.265,36,34.97,3.62K,2.38%
02/06/2025,35.015,34.1,35.485,34.1,4.19K,2.30%
30/05/2025,34.228,34.955,35.355,33.855,0.78K,-2.65%
29/05/2025,35.158,35.158,35.158,35.158,,-4.17%
28/05/2025,36.687,36.8,36.99,36.8,0.08K,-0.86%
27/05/2025,37.006,36.975,36.975,36.685,0.38K,1.53%
23/05/2025,36.45,36.4,36.77,35.88,0.47K,0.26%
22/05/2025,36.356,36.54,37.04,36.11,6.32K,-0.72%
21/05/2025,36.621,37.25,37.775,36.43,6.86K,-0.97%
20/05/2025,36.979,35.26,37.14,35.235,5.47K,4.98%
19/05/2025,35.225,35,35.46,34.9,3.82K,0.20%
16/05/2025,35.156,35.35,35.935,34.785,3.81K,-0.39%
15/05/2025,35.294,35.345,35.495,34.45,8.95K,0.70%
14/05/2025,35.048,35.65,35.68,34.425,5.20K,-1.95%
13/05/2025,35.744,35.015,36.15,35.01,7.76K,1.00%
12/05/2025,35.39,34.555,36.305,34.545,13.45K,2.23%
09/05/2025,34.618,35.7,35.99,34.32,7.11K,-2.05%
08/05/2025,35.341,34.22,35.745,34.22,8.95K,2.35%
07/05/2025,34.531,34.615,35.515,34.115,16.62K,-0.61%
06/05/2025,34.743,33.34,35.085,33.235,26.23K,5.51%
05/05/2025,32.93,32.79,33.065,32.6,3.08K,-0.45%
02/05/2025,33.078,32.095,33.63,32.085,4.78K,2.89%
01/05/2025,32.149,32.03,32.28,31.65,3.62K,-0.52%
30/04/2025,32.317,31.875,32.755,31.655,0.23K,1.45%
29/04/2025,31.856,30.9,31.5,30.9,0.00K,-1.67%
28/04/2025,32.398,32.7,32.7,32.275,0.07K,-0.10%
25/04/2025,32.432,33.445,33.445,31.95,7.19K,-3.40%
24/04/2025,33.574,34.05,34.14,33.08,12.55K,-1.72%
23/04/2025,34.16,34.675,34.975,33.925,11.56K,-0.25%
22/04/2025,34.244,35.85,35.85,34.025,6.15K,-3.96%
21/04/2025,35.657,35.657,35.657,35.657,,0.00%
17/04/2025,35.657,35.6,35.835,35.305,0.28K,0.98%
16/04/2025,35.312,33.905,35.63,33.905,2.86K,2.63%
15/04/2025,34.407,34.5,35.525,34.17,2.06K,-0.27%
14/04/2025,34.499,34.275,34.785,33.71,1.59K,3.10%
11/04/2025,33.463,33.725,34.055,32.805,12.78K,0.51%
10/04/2025,33.293,34.65,35.14,33.15,8.93K,-1.11%
09/04/2025,33.666,34.6,35.395,33.305,13.98K,-7.08%
08/04/2025,36.231,36.335,36.96,35.58,7.61K,-2.08%
07/04/2025,37,34.645,38.56,33.595,0.82K,1.65%
04/04/2025,36.401,39.25,39.25,35.265,3.86K,-7.15%
03/04/2025,39.203,39.75,40.46,38.455,6.65K,-4.99%
02/04/2025,41.263,42.475,42.95,40.87,3.65K,-2.80%
01/04/2025,42.45,40.875,42.7,40.45,2.02K,4.38%
31/03/2025,40.667,40.825,41.385,39.885,0.23K,0.20%
28/03/2025,40.587,40.9,40.9,40.9,0.00K,-1.49%
27/03/2025,41.202,41.1,41.425,41.1,0.02K,0.81%
26/03/2025,40.87,40.555,41.255,40.555,0.26K,-1.65%
25/03/2025,41.555,42.05,42.63,41.16,0.18K,-2.79%
24/03/2025,42.748,42.405,42.69,41.24,0.32K,0.34%
21/03/2025,42.605,44.755,44.755,42.03,0.27K,-0.58%
20/03/2025,42.855,43.86,44.15,42.675,0.49K,-1.15%
19/03/2025,43.355,42.505,43.94,41.96,16.91K,6.38%
18/03/2025,40.755,41.45,41.625,39.85,7.89K,-1.20%
17/03/2025,41.248,41.395,42.005,40.35,6.51K,-2.46%
14/03/2025,42.29,41.3,42.895,41.145,12.03K,0.51%
13/03/2025,42.076,42.455,43.625,40.545,0.49K,-0.42%
12/03/2025,42.254,42.645,43.345,41.295,5.50K,-1.07%
11/03/2025,42.71,41.405,43.56,40.865,4.77K,3.58%
10/03/2025,41.232,40.07,41.37,39.65,3.64K,3.15%
07/03/2025,39.971,37.325,41.5,37.205,5.76K,4.53%
06/03/2025,38.24,41.875,42,37.705,3.48K,-7.87%
05/03/2025,41.508,43.485,43.905,40.85,10.11K,-4.50%
04/03/2025,43.464,45.315,45.315,42.51,0.98K,-3.87%
03/03/2025,45.213,46.95,47.23,44.53,0.34K,2.01%
28/02/2025,44.32,46.5,46.545,44.11,0.25K,-1.36%
27/02/2025,44.93,44.375,44.56,44.375,0.01K,8.69%
26/02/2025,41.336,41.336,41.336,41.336,0.16K,-6.67%
25/02/2025,44.291,45.435,45.835,43.75,0.10K,-6.05%
24/02/2025,47.144,46.135,47.26,45.11,0.19K,-0.11%
21/02/2025,47.195,47.65,48.225,46.105,0.33K,-0.63%
20/02/2025,47.494,47.35,48.6,47.065,0.68K,-1.60%
19/02/2025,48.264,50,50.395,47.12,1.92K,-1.93%
18/02/2025,49.215,50.005,50.895,46.84,3.04K,-2.90%
14/02/2025,50.685,50.05,51.6,48.39,1.02K,-1.36%
13/02/2025,51.383,55.66,55.66,50.565,10.41K,-7.69%
12/02/2025,55.661,56.2,57,54.23,47.19K,-3.64%
11/02/2025,57.766,57.13,59.335,56.375,37.59K,-0.47%
10/02/2025,58.039,57.3,58.695,57.255,41.14K,4.16%
07/02/2025,55.723,53.815,56.05,53.66,24.71K,2.24%
06/02/2025,54.502,53.91,55.465,53.55,37.21K,1.99%
05/02/2025,53.438,51.85,53.905,51.85,8.89K,2.67%
04/02/2025,52.048,52.905,53.395,51.39,1.70K,-3.25%
03/02/2025,53.794,54.2,54.62,52.85,0.54K,1.05%
31/01/2025,53.237,52,53.755,51.945,1.52K,2.92%
30/01/2025,51.726,52.02,52.54,51.53,0.01K,1.11%
29/01/2025,51.156,49.74,51.33,49.74,0.02K,6.08%
28/01/2025,48.224,48.2,48.615,48.05,0.15K,0.76%
27/01/2025,47.862,48.825,48.9,47.83,0.36K,-3.70%
24/01/2025,49.702,49.585,49.91,48.205,15.83K,1.18%
23/01/2025,49.123,48.83,50.3,48.6,17.68K,0.84%
22/01/2025,48.716,50.085,50.7,48.55,41.43K,-2.62%
21/01/2025,50.027,46.65,50.225,46.15,32.26K,6.70%
17/01/2025,46.887,46,47.405,45.765,24.92K,1.40%
16/01/2025,46.241,46.205,46.41,45.7,4.97K,-1.63%
15/01/2025,47.006,47.45,47.75,46.45,8.69K,0.13%
14/01/2025,46.947,48.53,48.605,46.605,12.63K,-2.72%
13/01/2025,48.261,46.65,48.57,46.65,31.50K,7.23%
10/01/2025,45.008,44.85,45.785,43.225,22.27K,0.05%
09/01/2025,44.987,45.095,45.48,43.895,10.51K,-1.26%
08/01/2025,45.559,47.995,47.995,45.14,6.24K,-4.03%
07/01/2025,47.474,46.75,47.86,45.985,4.68K,0.31%
06/01/2025,47.326,49.1,49.25,46.94,3.21K,-4.63%
03/01/2025,49.622,49.905,50.35,49.385,3.66K,-1.29%
02/01/2025,50.273,50.215,50.695,48.615,0.71K,2.83%
31/12/2024,48.889,48.35,50.53,48.225,0.38K,2.64%
30/12/2024,47.633,48.3,48.3,47.235,0.03K,-0.21%
27/12/2024,47.731,47.18,47.93,46.8,0.26K,4.37%
26/12/2024,45.731,45.731,45.731,45.731,,0.00%
24/12/2024,45.731,45.75,46.55,45.3,0.16K,0.41%
23/12/2024,45.545,44.335,45.835,43.8,1.15K,3.21%
20/12/2024,44.13,43.875,44.465,42.785,1.53K,2.44%
19/12/2024,43.078,41.475,43.615,39.835,1.83K,5.05%
18/12/2024,41.007,42.355,42.4,40.63,3.55K,-2.52%
17/12/2024,42.065,40.5,42.145,39.955,3.03K,4.44%
16/12/2024,40.277,40.185,40.585,38.955,11.20K,-2.28%
13/12/2024,41.215,42.54,43.245,41.01,22.34K,-3.71%
12/12/2024,42.804,44.4,44.45,42.495,17.35K,-4.23%
11/12/2024,44.694,45.25,45.96,44.4,17.84K,-1.88%
10/12/2024,45.552,44.55,45.845,44.45,7.64K,1.55%
09/12/2024,44.855,46.2,46.305,44.74,12.53K,-3.50%
06/12/2024,46.48,46.25,46.7,45.95,4.41K,-0.15%
05/12/2024,46.551,47.51,47.56,46.005,6.28K,-1.05%
04/12/2024,47.046,48.1,48.15,46.71,6.88K,-3.11%
03/12/2024,48.557,48.93,49.05,48.25,3.53K,-0.20%
02/12/2024,48.655,48.86,49.295,48.35,3.85K,1.77%
29/11/2024,47.811,47.48,47.95,46.235,0.59K,2.24%
27/11/2024,46.762,46.535,46.8,46,0.09K,-0.96%
26/11/2024,47.216,47.38,48.29,46.13,0.19K,-1.08%
25/11/2024,47.733,47.665,48.88,47.4,0.67K,1.52%
22/11/2024,47.018,49.05,49.24,46.775,10.60K,-2.66%
21/11/2024,48.303,47.12,48.725,47.12,11.92K,3.22%
20/11/2024,46.796,45.36,47.23,45.275,24.27K,2.47%
19/11/2024,45.668,46.655,47.315,45.6,15.99K,-2.63%
18/11/2024,46.9,45.48,47.125,45.385,9.48K,0.75%
15/11/2024,46.551,46,47.41,45.45,20.42K,0.71%
14/11/2024,46.224,45.505,46.51,44.995,9.38K,5.86%
13/11/2024,43.666,43.625,44.105,42.2,8.32K,-1.33%
12/11/2024,44.255,43.82,44.435,43,7.78K,1.21%
11/11/2024,43.728,41.675,44.11,41.675,8.19K,3.11%
08/11/2024,42.409,42.325,43.055,41.975,7.86K,2.74%
07/11/2024,41.276,40.505,41.575,40.385,4.67K,2.20%
06/11/2024,40.388,40.1,40.75,39.04,2.80K,-0.26%
05/11/2024,40.492,40.33,41.2,40.305,2.21K,0.47%
04/11/2024,40.301,39.495,40.525,39.43,1.50K,2.87%
01/11/2024,39.175,39.325,40.38,38.55,1.35K,-3.48%
31/10/2024,40.588,41.225,41.49,38.07,0.42K,-0.77%
30/10/2024,40.903,41.565,41.565,41.125,0.02K,-4.59%
29/10/2024,42.869,43.44,43.605,43.2,0.04K,0.82%
28/10/2024,42.519,42.5,42.725,41.88,0.13K,-2.28%
25/10/2024,43.513,42.2,43.57,42.2,0.27K,3.22%
24/10/2024,42.154,41.85,42.63,41.75,0.32K,1.87%
23/10/2024,41.38,40.8,41.75,40.65,0.39K,1.66%
22/10/2024,40.704,39.93,41.005,39.79,0.22K,1.70%
21/10/2024,40.024,39.81,40.215,39.65,0.20K,2.09%
18/10/2024,39.204,39.74,39.74,39.105,0.21K,-1.12%
17/10/2024,39.65,39.45,40.03,39.31,0.14K,1.04%
16/10/2024,39.241,40.205,40.26,39.155,0.16K,-1.83%
15/10/2024,39.973,39.85,40.09,38.975,0.12K,-1.44%
14/10/2024,40.559,39.32,40.705,39.235,0.12K,1.71%
11/10/2024,39.879,39.865,40.575,39.52,0.22K,-1.03%
10/10/2024,40.293,38.405,40.35,38.405,0.27K,5.09%
09/10/2024,38.341,38.405,39.16,38.1,0.25K,-1.49%
08/10/2024,38.919,40.18,40.18,38.7,0.26K,-3.29%
07/10/2024,40.244,40.205,40.945,39.505,0.21K,-1.80%
04/10/2024,40.98,39.625,41.17,39.375,0.13K,2.68%
03/10/2024,39.912,38.395,39.83,38.145,0.20K,3.35%
02/10/2024,38.617,39.9,39.9,38.425,0.23K,-1.67%
01/10/2024,39.273,38.395,39.6,37.445,0.21K,0.59%
30/09/2024,39.044,39.205,39.27,38.705,0.14K,2.44%
27/09/2024,38.114,37.28,38.125,37.28,0.02K,0.59%
26/09/2024,37.89,37.03,37.92,36.7,0.10K,1.53%
25/09/2024,37.319,36.365,37.505,36.145,0.08K,5.38%
24/09/2024,35.413,35.413,35.413,35.413,0.21K,-2.20%
23/09/2024,36.211,34.9,36.295,34.57,0.25K,5.13%
20/09/2024,34.444,34.485,35.08,33.865,0.21K,4.11%
19/09/2024,33.083,35.98,36.695,32.525,0.65K,-6.13%
18/09/2024,35.245,35.185,35.745,34.705,0.23K,-0.85%
17/09/2024,35.547,34.15,35.75,34.125,0.27K,4.30%
16/09/2024,34.081,35.11,35.145,33.965,0.33K,-4.40%
13/09/2024,35.648,35.405,36.175,35.145,0.49K,1.30%
12/09/2024,35.19,35.83,35.85,34.845,0.44K,-2.63%
11/09/2024,36.14,35.45,36.295,34.885,0.42K,2.44%
10/09/2024,35.28,37.395,37.845,34.895,0.55K,-5.50%
09/09/2024,37.335,36.9,37.475,36.35,0.34K,2.34%
06/09/2024,36.48,37.05,37.535,36.35,0.55K,0.79%
05/09/2024,36.195,35.705,36.71,35.605,0.85K,1.10%
04/09/2024,35.8,36.815,37,35.605,0.57K,-3.75%
03/09/2024,37.195,39.845,39.845,36.99,0.47K,-6.60%
30/08/2024,39.825,38.985,40.235,38.85,0.40K,3.17%
29/08/2024,38.601,38.55,38.985,38.145,0.04K,0.21%
28/08/2024,38.52,39.3,39.3,38.7,0.01K,-0.44%
27/08/2024,38.69,37.475,38.9,37.405,0.19K,2.75%
26/08/2024,37.655,36.775,37.855,36.175,0.11K,2.14%
23/08/2024,36.865,36.975,37.32,36.15,0.53K,0.77%
22/08/2024,36.585,37.225,37.565,36.2,0.54K,-1.15%
21/08/2024,37.01,37.91,38.465,36.905,0.57K,-2.49%
20/08/2024,37.955,39.295,40.075,37.62,0.78K,-4.74%
19/08/2024,39.845,39.265,40.4,39.105,0.74K,0.50%
16/08/2024,39.645,39.69,40.06,39.19,0.63K,0.11%
15/08/2024,39.6,39.095,39.905,38.84,0.68K,1.63%
14/08/2024,38.965,39.57,40.175,38.66,0.85K,-1.30%
13/08/2024,39.48,39.395,40.395,38.795,0.85K,-0.45%
12/08/2024,39.66,39.625,42.86,39.265,1.29K,-1.82%
09/08/2024,40.395,40.035,40.715,39.575,0.84K,0.75%
08/08/2024,40.095,38.62,40.3,38.195,1.07K,4.28%
07/08/2024,38.45,36.755,38.76,35.935,1.00K,4.84%
06/08/2024,36.675,36.25,37.025,36.055,0.43K,3.31%
05/08/2024,35.5,36.77,36.77,34.825,0.71K,-3.14%
02/08/2024,36.65,36.67,37.09,36.07,0.95K,-0.87%
01/08/2024,36.97,36.14,37.02,35.81,0.82K,3.07%
31/07/2024,35.87,35.735,35.95,35.105,0.29K,4.39%
30/07/2024,34.361,33.74,34.3,33.74,0.01K,1.43%
29/07/2024,33.875,33.475,33.93,33.35,0.08K,4.31%
26/07/2024,32.475,32.135,32.78,32.135,0.07K,2.19%
25/07/2024,31.78,32.38,32.38,31.69,0.75K,-2.58%
24/07/2024,32.62,31.525,32.945,31.52,0.66K,3.16%
23/07/2024,31.62,31.62,31.83,31.335,1.12K,-0.69%
22/07/2024,31.84,31.8,31.95,31.195,0.35K,-1.03%
19/07/2024,32.17,32.53,32.53,31.725,0.22K,-1.55%
18/07/2024,32.675,31.84,32.755,31.82,0.20K,2.45%
17/07/2024,31.895,32.905,33.25,31.6,0.75K,-2.74%
16/07/2024,32.795,31.495,33.02,31.495,0.39K,4.54%
15/07/2024,31.37,31.86,31.93,31.075,0.80K,-1.10%
12/07/2024,31.72,31.27,32.285,30.92,0.90K,1.96%
11/07/2024,31.11,30.85,31.405,30.405,0.85K,1.06%
10/07/2024,30.785,31.25,31.695,30.635,1.40K,-1.76%
09/07/2024,31.335,32.175,32.175,30.95,1.05K,-2.94%
08/07/2024,32.285,33.195,33.7,32.05,1.01K,-2.36%
05/07/2024,33.065,32.505,33.8,32.415,0.79K,1.15%
03/07/2024,32.69,33.25,33.39,32.645,1.24K,-2.95%
02/07/2024,33.685,33.525,33.87,33.175,0.67K,0.60%
01/07/2024,33.485,34.5,34.945,33.42,0.21K,-2.89%
28/06/2024,34.48,34.675,34.745,34.05,0.46K,-0.25%
27/06/2024,34.565,34.125,34.25,34.125,0.00K,2.19%
26/06/2024,33.825,35.15,35.15,34.85,0.08K,-2.96%
25/06/2024,34.855,34.325,34.875,34.325,0.17K,2.27%
24/06/2024,34.08,33.8,34.55,33.8,0.21K,0.42%
21/06/2024,33.936,34.4,34.555,33.87,0.52K,-1.53%
20/06/2024,34.465,34.53,35.69,34.25,0.89K,-0.68%
18/06/2024,34.7,34.28,35.05,34.28,0.60K,1.43%
17/06/2024,34.21,35.4,35.4,34.2,0.41K,-3.25%
14/06/2024,35.36,35.375,36.045,34.85,0.41K,-1.02%
13/06/2024,35.725,35.665,36.75,35.56,0.40K,1.22%
12/06/2024,35.295,34.055,36.025,33.93,0.43K,2.95%
11/06/2024,34.285,33.675,35.335,33.58,0.26K,0.07%
10/06/2024,34.26,33.005,34.675,32.43,0.62K,3.48%
07/06/2024,33.109,32.885,33.405,32.815,0.36K,-1.71%
